timestamp, power.draw [W], utilization.gpu [%]
2026/03/17 07:01:07.959, 312.20 W, 0 %
2026/03/17 07:01:08.061, 312.20 W, 0 %
2026/03/17 07:01:08.161, 272.08 W, 0 %
2026/03/17 07:01:08.261, 234.59 W, 0 %
2026/03/17 07:01:08.362, 196.45 W, 0 %
2026/03/17 07:01:08.462, 157.88 W, 0 %
2026/03/17 07:01:08.562, 125.85 W, 5 %
2026/03/17 07:01:08.662, 124.90 W, 5 %
2026/03/17 07:01:08.762, 124.49 W, 0 %
2026/03/17 07:01:08.862, 124.13 W, 0 %
2026/03/17 07:01:08.962, 135.43 W, 53 %
2026/03/17 07:01:09.063, 154.58 W, 53 %
2026/03/17 07:01:09.163, 172.98 W, 85 %
2026/03/17 07:01:09.263, 192.28 W, 85 %
2026/03/17 07:01:09.363, 211.34 W, 88 %
2026/03/17 07:01:09.463, 227.38 W, 88 %
2026/03/17 07:01:09.563, 247.93 W, 87 %
2026/03/17 07:01:09.663, 267.60 W, 87 %
2026/03/17 07:01:09.764, 303.70 W, 89 %
2026/03/17 07:01:09.864, 313.97 W, 89 %
2026/03/17 07:01:09.964, 315.59 W, 87 %
2026/03/17 07:01:10.064, 315.18 W, 79 %
2026/03/17 07:01:10.164, 314.71 W, 79 %
2026/03/17 07:01:10.264, 313.58 W, 88 %
2026/03/17 07:01:10.364, 314.58 W, 88 %
2026/03/17 07:01:10.465, 315.21 W, 88 %
2026/03/17 07:01:10.565, 314.85 W, 88 %
2026/03/17 07:01:10.665, 312.71 W, 89 %
2026/03/17 07:01:10.765, 312.48 W, 89 %
2026/03/17 07:01:10.865, 313.78 W, 87 %
2026/03/17 07:01:10.965, 313.07 W, 87 %
2026/03/17 07:01:11.065, 314.04 W, 89 %
2026/03/17 07:01:11.166, 314.50 W, 89 %
2026/03/17 07:01:11.266, 315.41 W, 83 %
2026/03/17 07:01:11.366, 316.41 W, 83 %
2026/03/17 07:01:11.466, 317.57 W, 88 %
2026/03/17 07:01:11.566, 317.10 W, 88 %
2026/03/17 07:01:11.666, 318.64 W, 89 %
2026/03/17 07:01:11.766, 318.55 W, 89 %
2026/03/17 07:01:11.867, 316.78 W, 89 %
2026/03/17 07:01:11.967, 314.62 W, 89 %
2026/03/17 07:01:12.067, 314.64 W, 87 %
2026/03/17 07:01:12.167, 315.72 W, 87 %
2026/03/17 07:01:12.267, 313.37 W, 87 %
2026/03/17 07:01:12.367, 312.55 W, 87 %
2026/03/17 07:01:12.467, 311.57 W, 88 %
2026/03/17 07:01:12.568, 311.47 W, 88 %
2026/03/17 07:01:12.668, 310.06 W, 88 %
2026/03/17 07:01:12.768, 311.31 W, 88 %
2026/03/17 07:01:12.868, 313.52 W, 89 %
2026/03/17 07:01:12.968, 314.39 W, 89 %
2026/03/17 07:01:13.068, 316.08 W, 89 %
2026/03/17 07:01:13.168, 314.35 W, 89 %
2026/03/17 07:01:13.269, 314.17 W, 87 %
2026/03/17 07:01:13.369, 315.42 W, 87 %
2026/03/17 07:01:13.469, 315.70 W, 89 %
2026/03/17 07:01:13.569, 317.14 W, 89 %
2026/03/17 07:01:13.669, 319.13 W, 89 %
2026/03/17 07:01:13.769, 317.03 W, 89 %
2026/03/17 07:01:13.869, 317.15 W, 88 %
2026/03/17 07:01:13.970, 317.27 W, 88 %
2026/03/17 07:01:14.070, 318.17 W, 89 %
2026/03/17 07:01:14.170, 318.26 W, 89 %
2026/03/17 07:01:14.270, 320.43 W, 87 %
2026/03/17 07:01:14.370, 319.86 W, 87 %
2026/03/17 07:01:14.470, 320.20 W, 89 %
2026/03/17 07:01:14.570, 319.09 W, 89 %
2026/03/17 07:01:14.671, 317.85 W, 87 %
2026/03/17 07:01:14.771, 319.79 W, 87 %
2026/03/17 07:01:14.871, 318.62 W, 89 %
2026/03/17 07:01:14.971, 317.75 W, 89 %
2026/03/17 07:01:15.071, 316.69 W, 87 %
2026/03/17 07:01:15.171, 316.92 W, 87 %
2026/03/17 07:01:15.271, 317.51 W, 89 %
2026/03/17 07:01:15.372, 317.07 W, 89 %
2026/03/17 07:01:15.472, 316.21 W, 88 %
2026/03/17 07:01:15.572, 316.12 W, 88 %
2026/03/17 07:01:15.672, 315.10 W, 87 %
2026/03/17 07:01:15.772, 316.41 W, 87 %
2026/03/17 07:01:15.872, 318.63 W, 88 %
2026/03/17 07:01:15.972, 320.97 W, 88 %
2026/03/17 07:01:16.073, 319.41 W, 89 %
2026/03/17 07:01:16.173, 318.11 W, 89 %
2026/03/17 07:01:16.273, 317.81 W, 89 %
2026/03/17 07:01:16.373, 318.11 W, 89 %
2026/03/17 07:01:16.473, 318.87 W, 89 %
2026/03/17 07:01:16.573, 319.79 W, 89 %
2026/03/17 07:01:16.673, 320.65 W, 87 %
2026/03/17 07:01:16.774, 320.02 W, 87 %
2026/03/17 07:01:16.874, 318.03 W, 89 %
2026/03/17 07:01:16.974, 316.88 W, 89 %
2026/03/17 07:01:17.074, 319.13 W, 88 %
2026/03/17 07:01:17.174, 320.66 W, 88 %
2026/03/17 07:01:17.274, 320.58 W, 87 %
2026/03/17 07:01:17.374, 320.16 W, 87 %
2026/03/17 07:01:17.475, 318.47 W, 89 %
2026/03/17 07:01:17.575, 316.77 W, 89 %
2026/03/17 07:01:17.675, 316.21 W, 87 %
2026/03/17 07:01:17.775, 316.01 W, 87 %
2026/03/17 07:01:17.875, 315.90 W, 88 %
2026/03/17 07:01:17.975, 317.05 W, 88 %
2026/03/17 07:01:18.075, 315.71 W, 88 %
2026/03/17 07:01:18.176, 315.32 W, 88 %
2026/03/17 07:01:18.276, 314.97 W, 88 %
2026/03/17 07:01:18.376, 315.33 W, 88 %
2026/03/17 07:01:18.476, 317.17 W, 88 %
2026/03/17 07:01:18.576, 317.36 W, 88 %
2026/03/17 07:01:18.676, 316.99 W, 84 %
2026/03/17 07:01:18.776, 317.40 W, 84 %
2026/03/17 07:01:18.877, 318.26 W, 87 %
2026/03/17 07:01:18.977, 317.98 W, 87 %
2026/03/17 07:01:19.077, 319.34 W, 88 %
2026/03/17 07:01:19.177, 319.28 W, 88 %
2026/03/17 07:01:19.277, 318.78 W, 89 %
2026/03/17 07:01:19.377, 320.46 W, 89 %
2026/03/17 07:01:19.477, 319.63 W, 88 %
2026/03/17 07:01:19.578, 321.24 W, 88 %
2026/03/17 07:01:19.678, 321.18 W, 89 %
2026/03/17 07:01:19.778, 319.61 W, 89 %
2026/03/17 07:01:19.878, 318.93 W, 85 %
2026/03/17 07:01:19.978, 319.29 W, 85 %
2026/03/17 07:01:20.078, 317.60 W, 88 %
2026/03/17 07:01:20.178, 317.86 W, 88 %
2026/03/17 07:01:20.279, 319.75 W, 89 %
2026/03/17 07:01:20.379, 318.21 W, 89 %
2026/03/17 07:01:20.479, 320.62 W, 87 %
2026/03/17 07:01:20.579, 319.78 W, 87 %
2026/03/17 07:01:20.679, 319.87 W, 89 %
2026/03/17 07:01:20.779, 320.24 W, 89 %
2026/03/17 07:01:20.879, 321.02 W, 89 %
2026/03/17 07:01:20.980, 320.45 W, 89 %
2026/03/17 07:01:21.080, 320.33 W, 84 %
2026/03/17 07:01:21.180, 320.70 W, 84 %
2026/03/17 07:01:21.280, 319.37 W, 89 %
2026/03/17 07:01:21.380, 318.42 W, 89 %
2026/03/17 07:01:21.480, 316.41 W, 89 %
2026/03/17 07:01:21.580, 317.47 W, 89 %
2026/03/17 07:01:21.681, 316.04 W, 89 %
2026/03/17 07:01:21.781, 316.15 W, 89 %
2026/03/17 07:01:21.881, 316.04 W, 89 %
2026/03/17 07:01:21.981, 316.62 W, 89 %
2026/03/17 07:01:22.081, 318.26 W, 88 %
2026/03/17 07:01:22.181, 317.91 W, 88 %
2026/03/17 07:01:22.281, 316.36 W, 84 %
2026/03/17 07:01:22.382, 318.32 W, 84 %
2026/03/17 07:01:22.482, 319.44 W, 89 %
2026/03/17 07:01:22.582, 317.40 W, 89 %
2026/03/17 07:01:22.682, 318.90 W, 88 %
2026/03/17 07:01:22.782, 320.57 W, 88 %
2026/03/17 07:01:22.882, 319.54 W, 89 %
2026/03/17 07:01:22.982, 319.99 W, 89 %
2026/03/17 07:01:23.083, 319.17 W, 88 %
2026/03/17 07:01:23.183, 320.25 W, 88 %
2026/03/17 07:01:23.283, 320.55 W, 89 %
2026/03/17 07:01:23.383, 318.55 W, 89 %
2026/03/17 07:01:23.483, 315.61 W, 83 %
2026/03/17 07:01:23.583, 316.39 W, 83 %
2026/03/17 07:01:23.683, 315.21 W, 89 %
2026/03/17 07:01:23.784, 314.33 W, 89 %
2026/03/17 07:01:23.884, 316.62 W, 89 %
2026/03/17 07:01:23.984, 315.14 W, 89 %
2026/03/17 07:01:24.084, 313.78 W, 89 %
2026/03/17 07:01:24.184, 312.01 W, 89 %
2026/03/17 07:01:24.284, 312.16 W, 88 %
2026/03/17 07:01:24.384, 313.24 W, 88 %
2026/03/17 07:01:24.485, 314.30 W, 87 %
2026/03/17 07:01:24.585, 315.04 W, 87 %
2026/03/17 07:01:24.685, 315.10 W, 85 %
2026/03/17 07:01:24.785, 316.14 W, 85 %
2026/03/17 07:01:24.885, 315.57 W, 89 %
2026/03/17 07:01:24.985, 316.01 W, 89 %
2026/03/17 07:01:25.085, 316.49 W, 89 %
2026/03/17 07:01:25.186, 318.32 W, 89 %
2026/03/17 07:01:25.286, 320.31 W, 89 %
2026/03/17 07:01:25.386, 318.92 W, 89 %
2026/03/17 07:01:25.486, 319.60 W, 88 %
2026/03/17 07:01:25.586, 319.83 W, 88 %
2026/03/17 07:01:25.686, 319.96 W, 89 %
2026/03/17 07:01:25.786, 319.77 W, 89 %
2026/03/17 07:01:25.887, 318.49 W, 89 %
2026/03/17 07:01:25.987, 316.70 W, 89 %
2026/03/17 07:01:26.087, 316.50 W, 89 %
2026/03/17 07:01:26.187, 315.37 W, 89 %
2026/03/17 07:01:26.287, 313.13 W, 89 %
2026/03/17 07:01:26.387, 313.35 W, 89 %
2026/03/17 07:01:26.487, 313.07 W, 87 %
2026/03/17 07:01:26.588, 312.97 W, 87 %
2026/03/17 07:01:26.688, 312.89 W, 89 %
2026/03/17 07:01:26.788, 313.29 W, 89 %
2026/03/17 07:01:26.888, 312.92 W, 88 %
2026/03/17 07:01:26.988, 315.72 W, 88 %
2026/03/17 07:01:27.088, 316.20 W, 89 %
2026/03/17 07:01:27.188, 317.12 W, 89 %
2026/03/17 07:01:27.289, 316.83 W, 89 %
2026/03/17 07:01:27.389, 316.24 W, 89 %
2026/03/17 07:01:27.489, 317.66 W, 89 %
2026/03/17 07:01:27.589, 319.02 W, 89 %
2026/03/17 07:01:27.689, 318.60 W, 89 %
2026/03/17 07:01:27.789, 317.63 W, 89 %
2026/03/17 07:01:27.889, 316.75 W, 87 %
2026/03/17 07:01:27.990, 316.14 W, 87 %
2026/03/17 07:01:28.090, 316.08 W, 89 %
2026/03/17 07:01:28.190, 316.15 W, 89 %
2026/03/17 07:01:28.290, 316.50 W, 89 %
2026/03/17 07:01:28.390, 315.46 W, 89 %
2026/03/17 07:01:28.490, 315.33 W, 87 %
2026/03/17 07:01:28.590, 315.02 W, 87 %
2026/03/17 07:01:28.691, 314.27 W, 89 %
2026/03/17 07:01:28.791, 315.72 W, 89 %
2026/03/17 07:01:28.891, 317.16 W, 87 %
2026/03/17 07:01:28.991, 319.16 W, 87 %
2026/03/17 07:01:29.091, 319.77 W, 89 %
2026/03/17 07:01:29.191, 317.93 W, 89 %
2026/03/17 07:01:29.291, 318.69 W, 89 %
2026/03/17 07:01:29.392, 320.53 W, 89 %
2026/03/17 07:01:29.492, 321.71 W, 89 %
2026/03/17 07:01:29.592, 321.05 W, 89 %
2026/03/17 07:01:29.692, 321.76 W, 89 %
2026/03/17 07:01:29.792, 320.27 W, 89 %
2026/03/17 07:01:29.892, 319.65 W, 87 %
2026/03/17 07:01:29.992, 317.02 W, 87 %
2026/03/17 07:01:30.093, 316.51 W, 89 %
2026/03/17 07:01:30.193, 318.47 W, 89 %
2026/03/17 07:01:30.293, 318.52 W, 88 %
2026/03/17 07:01:30.393, 319.20 W, 88 %
2026/03/17 07:01:30.493, 318.16 W, 89 %
2026/03/17 07:01:30.593, 318.80 W, 89 %
2026/03/17 07:01:30.693, 319.12 W, 88 %
2026/03/17 07:01:30.794, 319.07 W, 88 %
2026/03/17 07:01:30.894, 319.36 W, 89 %
2026/03/17 07:01:30.994, 321.79 W, 89 %
2026/03/17 07:01:31.094, 320.14 W, 89 %
2026/03/17 07:01:31.194, 320.50 W, 89 %
2026/03/17 07:01:31.294, 319.72 W, 87 %
2026/03/17 07:01:31.394, 318.29 W, 87 %
2026/03/17 07:01:31.495, 318.34 W, 89 %
2026/03/17 07:01:31.595, 319.21 W, 89 %
2026/03/17 07:01:31.695, 318.25 W, 89 %
2026/03/17 07:01:31.795, 319.73 W, 89 %
2026/03/17 07:01:31.895, 320.14 W, 89 %
2026/03/17 07:01:31.995, 317.99 W, 89 %
2026/03/17 07:01:32.095, 317.92 W, 89 %
2026/03/17 07:01:32.196, 317.75 W, 89 %
2026/03/17 07:01:32.296, 317.66 W, 88 %
2026/03/17 07:01:32.396, 318.78 W, 88 %
2026/03/17 07:01:32.496, 318.97 W, 88 %
2026/03/17 07:01:32.596, 319.06 W, 88 %
2026/03/17 07:01:32.696, 317.24 W, 87 %
2026/03/17 07:01:32.796, 315.31 W, 87 %
2026/03/17 07:01:32.897, 314.98 W, 88 %
2026/03/17 07:01:32.997, 315.94 W, 88 %
2026/03/17 07:01:33.097, 315.93 W, 89 %
2026/03/17 07:01:33.197, 314.35 W, 89 %
2026/03/17 07:01:33.297, 314.72 W, 89 %
2026/03/17 07:01:33.397, 312.98 W, 89 %
2026/03/17 07:01:33.497, 312.65 W, 89 %
2026/03/17 07:01:33.598, 313.07 W, 89 %
2026/03/17 07:01:33.698, 314.00 W, 87 %
2026/03/17 07:01:33.798, 316.61 W, 87 %
2026/03/17 07:01:33.898, 317.08 W, 89 %
2026/03/17 07:01:33.998, 317.68 W, 89 %
2026/03/17 07:01:34.098, 318.21 W, 89 %
2026/03/17 07:01:34.198, 319.03 W, 89 %
2026/03/17 07:01:34.299, 318.87 W, 88 %
2026/03/17 07:01:34.399, 318.42 W, 88 %
2026/03/17 07:01:34.499, 318.27 W, 89 %
2026/03/17 07:01:34.599, 318.46 W, 89 %
2026/03/17 07:01:34.699, 318.23 W, 88 %
2026/03/17 07:01:34.799, 316.61 W, 88 %
2026/03/17 07:01:34.899, 315.67 W, 89 %
2026/03/17 07:01:35.000, 314.17 W, 89 %
2026/03/17 07:01:35.100, 312.09 W, 89 %
2026/03/17 07:01:35.200, 313.04 W, 89 %
2026/03/17 07:01:35.300, 314.51 W, 89 %
2026/03/17 07:01:35.400, 315.52 W, 89 %
2026/03/17 07:01:35.500, 316.11 W, 89 %
2026/03/17 07:01:35.600, 314.44 W, 89 %
2026/03/17 07:01:35.701, 313.29 W, 84 %
2026/03/17 07:01:35.801, 313.42 W, 84 %
2026/03/17 07:01:35.901, 313.42 W, 88 %
2026/03/17 07:01:36.001, 313.64 W, 88 %
2026/03/17 07:01:36.101, 315.61 W, 87 %
2026/03/17 07:01:36.201, 315.74 W, 87 %
2026/03/17 07:01:36.301, 314.75 W, 89 %
2026/03/17 07:01:36.402, 314.24 W, 89 %
2026/03/17 07:01:36.502, 314.53 W, 89 %
2026/03/17 07:01:36.602, 316.05 W, 89 %
2026/03/17 07:01:36.702, 318.10 W, 89 %
2026/03/17 07:01:36.802, 316.54 W, 89 %
2026/03/17 07:01:36.902, 317.90 W, 84 %
2026/03/17 07:01:37.002, 319.82 W, 84 %
2026/03/17 07:01:37.103, 318.56 W, 88 %
2026/03/17 07:01:37.203, 319.17 W, 88 %
2026/03/17 07:01:37.303, 318.77 W, 89 %
2026/03/17 07:01:37.403, 319.81 W, 89 %
2026/03/17 07:01:37.503, 319.98 W, 89 %
2026/03/17 07:01:37.603, 319.29 W, 89 %
2026/03/17 07:01:37.703, 320.30 W, 89 %
2026/03/17 07:01:37.804, 321.93 W, 89 %
2026/03/17 07:01:37.904, 320.42 W, 89 %
2026/03/17 07:01:38.004, 318.27 W, 89 %
2026/03/17 07:01:38.104, 318.20 W, 84 %
2026/03/17 07:01:38.204, 318.01 W, 84 %
2026/03/17 07:01:38.304, 318.89 W, 89 %
2026/03/17 07:01:38.404, 318.07 W, 89 %
2026/03/17 07:01:38.505, 317.20 W, 89 %
2026/03/17 07:01:38.605, 317.51 W, 89 %
2026/03/17 07:01:38.705, 317.11 W, 87 %
2026/03/17 07:01:38.805, 317.43 W, 87 %
2026/03/17 07:01:38.905, 318.56 W, 89 %
2026/03/17 07:01:39.005, 319.34 W, 89 %
2026/03/17 07:01:39.105, 319.56 W, 89 %
2026/03/17 07:01:39.206, 319.74 W, 89 %
2026/03/17 07:01:39.306, 318.21 W, 85 %
2026/03/17 07:01:39.406, 318.92 W, 85 %
2026/03/17 07:01:39.506, 320.00 W, 88 %
2026/03/17 07:01:39.606, 320.42 W, 88 %
2026/03/17 07:01:39.706, 319.98 W, 89 %
2026/03/17 07:01:39.806, 320.52 W, 89 %
2026/03/17 07:01:39.907, 319.14 W, 89 %
2026/03/17 07:01:40.007, 320.35 W, 89 %
2026/03/17 07:01:40.107, 321.22 W, 89 %
2026/03/17 07:01:40.207, 321.81 W, 89 %
2026/03/17 07:01:40.307, 323.10 W, 89 %
2026/03/17 07:01:40.407, 322.73 W, 89 %
2026/03/17 07:01:40.507, 322.18 W, 85 %
2026/03/17 07:01:40.608, 319.91 W, 85 %
2026/03/17 07:01:40.708, 321.19 W, 89 %
2026/03/17 07:01:40.808, 322.15 W, 89 %
2026/03/17 07:01:40.908, 321.31 W, 89 %
2026/03/17 07:01:41.008, 319.15 W, 89 %
2026/03/17 07:01:41.108, 318.86 W, 89 %
2026/03/17 07:01:41.208, 316.88 W, 89 %
2026/03/17 07:01:41.309, 315.01 W, 89 %
2026/03/17 07:01:41.409, 314.08 W, 89 %
2026/03/17 07:01:41.509, 312.99 W, 87 %
2026/03/17 07:01:41.609, 314.02 W, 87 %
2026/03/17 07:01:41.709, 312.15 W, 85 %
2026/03/17 07:01:41.809, 310.88 W, 85 %
2026/03/17 07:01:41.909, 310.32 W, 88 %
2026/03/17 07:01:42.010, 311.67 W, 88 %
2026/03/17 07:01:42.110, 311.17 W, 89 %
2026/03/17 07:01:42.210, 312.58 W, 89 %
2026/03/17 07:01:42.310, 313.61 W, 89 %
2026/03/17 07:01:42.410, 314.85 W, 89 %
2026/03/17 07:01:42.510, 315.98 W, 89 %
2026/03/17 07:01:42.610, 316.39 W, 89 %
2026/03/17 07:01:42.711, 316.49 W, 89 %
2026/03/17 07:01:42.811, 316.37 W, 89 %
2026/03/17 07:01:42.911, 317.19 W, 85 %
2026/03/17 07:01:43.011, 317.20 W, 85 %
2026/03/17 07:01:43.111, 317.66 W, 89 %
2026/03/17 07:01:43.211, 318.02 W, 89 %
2026/03/17 07:01:43.311, 317.63 W, 89 %
2026/03/17 07:01:43.412, 317.92 W, 89 %
2026/03/17 07:01:43.512, 317.62 W, 89 %
2026/03/17 07:01:43.612, 317.94 W, 89 %
2026/03/17 07:01:43.712, 319.70 W, 88 %
2026/03/17 07:01:43.812, 319.77 W, 88 %
2026/03/17 07:01:43.912, 319.43 W, 86 %
2026/03/17 07:01:44.012, 318.62 W, 86 %
2026/03/17 07:01:44.113, 318.35 W, 85 %
2026/03/17 07:01:44.213, 318.10 W, 85 %
2026/03/17 07:01:44.313, 318.17 W, 89 %
2026/03/17 07:01:44.413, 318.00 W, 89 %
2026/03/17 07:01:44.513, 317.70 W, 89 %
2026/03/17 07:01:44.613, 317.05 W, 89 %
2026/03/17 07:01:44.713, 315.14 W, 89 %
2026/03/17 07:01:44.814, 314.62 W, 89 %
2026/03/17 07:01:44.914, 315.92 W, 87 %
2026/03/17 07:01:45.014, 315.61 W, 87 %
2026/03/17 07:01:45.114, 315.80 W, 88 %
2026/03/17 07:01:45.214, 316.52 W, 88 %
2026/03/17 07:01:45.314, 314.14 W, 89 %
2026/03/17 07:01:45.414, 315.24 W, 89 %
2026/03/17 07:01:45.515, 313.56 W, 89 %
2026/03/17 07:01:45.615, 313.51 W, 89 %
2026/03/17 07:01:45.715, 314.13 W, 89 %
2026/03/17 07:01:45.815, 313.96 W, 89 %
2026/03/17 07:01:45.915, 312.62 W, 89 %
2026/03/17 07:01:46.015, 312.31 W, 89 %
2026/03/17 07:01:46.115, 312.69 W, 89 %
2026/03/17 07:01:46.216, 312.60 W, 89 %
2026/03/17 07:01:46.316, 314.01 W, 87 %
2026/03/17 07:01:46.416, 312.99 W, 87 %
2026/03/17 07:01:46.516, 313.96 W, 89 %
2026/03/17 07:01:46.616, 315.90 W, 89 %
2026/03/17 07:01:46.716, 316.24 W, 89 %
2026/03/17 07:01:46.816, 316.75 W, 89 %
2026/03/17 07:01:46.917, 317.52 W, 89 %
2026/03/17 07:01:47.017, 318.31 W, 89 %
2026/03/17 07:01:47.117, 319.05 W, 88 %
2026/03/17 07:01:47.217, 319.39 W, 88 %
2026/03/17 07:01:47.317, 320.42 W, 87 %
2026/03/17 07:01:47.417, 320.63 W, 87 %
2026/03/17 07:01:47.517, 320.75 W, 89 %
2026/03/17 07:01:47.618, 318.57 W, 89 %
2026/03/17 07:01:47.718, 319.53 W, 89 %
2026/03/17 07:01:47.818, 316.09 W, 89 %
2026/03/17 07:01:47.918, 316.22 W, 89 %
2026/03/17 07:01:48.018, 317.91 W, 89 %
2026/03/17 07:01:48.118, 317.25 W, 89 %
2026/03/17 07:01:48.218, 315.99 W, 89 %
2026/03/17 07:01:48.319, 316.04 W, 88 %
2026/03/17 07:01:48.419, 315.73 W, 88 %
2026/03/17 07:01:48.519, 316.20 W, 89 %
2026/03/17 07:01:48.619, 317.59 W, 89 %
2026/03/17 07:01:48.719, 316.52 W, 89 %
2026/03/17 07:01:48.819, 320.14 W, 89 %
2026/03/17 07:01:48.919, 319.78 W, 89 %
2026/03/17 07:01:49.020, 316.89 W, 89 %
2026/03/17 07:01:49.120, 316.85 W, 89 %
2026/03/17 07:01:49.220, 317.62 W, 89 %
2026/03/17 07:01:49.320, 317.02 W, 88 %
2026/03/17 07:01:49.420, 316.58 W, 88 %
2026/03/17 07:01:49.520, 316.81 W, 89 %
2026/03/17 07:01:49.620, 317.98 W, 89 %
2026/03/17 07:01:49.721, 318.07 W, 87 %
2026/03/17 07:01:49.821, 318.75 W, 87 %
2026/03/17 07:01:49.921, 319.54 W, 88 %
2026/03/17 07:01:50.021, 320.54 W, 88 %
2026/03/17 07:01:50.121, 319.80 W, 89 %
2026/03/17 07:01:50.221, 318.91 W, 89 %
2026/03/17 07:01:50.321, 318.31 W, 89 %
2026/03/17 07:01:50.422, 318.93 W, 89 %
2026/03/17 07:01:50.522, 319.24 W, 89 %
2026/03/17 07:01:50.622, 319.25 W, 89 %
2026/03/17 07:01:50.722, 319.00 W, 88 %
2026/03/17 07:01:50.822, 318.89 W, 88 %
2026/03/17 07:01:50.922, 317.90 W, 89 %
2026/03/17 07:01:51.022, 319.14 W, 89 %
2026/03/17 07:01:51.123, 318.70 W, 89 %
2026/03/17 07:01:51.223, 319.48 W, 89 %
2026/03/17 07:01:51.323, 321.49 W, 88 %
2026/03/17 07:01:51.423, 320.90 W, 88 %
2026/03/17 07:01:51.523, 320.23 W, 89 %
2026/03/17 07:01:51.623, 319.34 W, 89 %
2026/03/17 07:01:51.723, 319.62 W, 88 %
2026/03/17 07:01:51.824, 319.62 W, 88 %
2026/03/17 07:01:51.924, 319.29 W, 88 %
2026/03/17 07:01:52.024, 318.16 W, 88 %
2026/03/17 07:01:52.124, 319.91 W, 88 %
2026/03/17 07:01:52.224, 320.43 W, 88 %
2026/03/17 07:01:52.324, 319.22 W, 89 %
2026/03/17 07:01:52.424, 320.29 W, 89 %
2026/03/17 07:01:52.525, 320.58 W, 89 %
2026/03/17 07:01:52.625, 320.39 W, 89 %
2026/03/17 07:01:52.725, 319.45 W, 89 %
2026/03/17 07:01:52.825, 319.96 W, 89 %
2026/03/17 07:01:52.925, 321.74 W, 89 %
2026/03/17 07:01:53.025, 320.90 W, 89 %
2026/03/17 07:01:53.125, 319.30 W, 86 %
2026/03/17 07:01:53.226, 317.84 W, 86 %
2026/03/17 07:01:53.326, 317.67 W, 88 %
2026/03/17 07:01:53.426, 317.48 W, 88 %
2026/03/17 07:01:53.526, 316.18 W, 89 %
2026/03/17 07:01:53.626, 316.95 W, 89 %
2026/03/17 07:01:53.726, 317.59 W, 89 %
2026/03/17 07:01:53.826, 316.74 W, 89 %
2026/03/17 07:01:53.927, 316.31 W, 88 %
2026/03/17 07:01:54.027, 316.97 W, 88 %
2026/03/17 07:01:54.127, 317.68 W, 88 %
2026/03/17 07:01:54.227, 317.34 W, 88 %
2026/03/17 07:01:54.327, 317.49 W, 88 %
2026/03/17 07:01:54.427, 317.38 W, 88 %
2026/03/17 07:01:54.527, 318.05 W, 87 %
2026/03/17 07:01:54.628, 318.31 W, 87 %
2026/03/17 07:01:54.728, 317.29 W, 89 %
2026/03/17 07:01:54.828, 318.36 W, 89 %
2026/03/17 07:01:54.928, 317.74 W, 89 %
2026/03/17 07:01:55.028, 315.47 W, 89 %
2026/03/17 07:01:55.128, 316.11 W, 89 %
2026/03/17 07:01:55.228, 316.32 W, 89 %
2026/03/17 07:01:55.329, 315.84 W, 89 %
2026/03/17 07:01:55.429, 317.26 W, 89 %
2026/03/17 07:01:55.529, 316.92 W, 88 %
2026/03/17 07:01:55.629, 317.12 W, 88 %
2026/03/17 07:01:55.729, 316.81 W, 88 %
2026/03/17 07:01:55.829, 316.66 W, 88 %
2026/03/17 07:01:55.929, 316.13 W, 89 %
2026/03/17 07:01:56.030, 318.35 W, 89 %
2026/03/17 07:01:56.130, 319.48 W, 88 %
2026/03/17 07:01:56.230, 319.52 W, 88 %
2026/03/17 07:01:56.330, 318.55 W, 89 %
2026/03/17 07:01:56.430, 318.66 W, 89 %
2026/03/17 07:01:56.530, 320.20 W, 87 %
2026/03/17 07:01:56.630, 319.21 W, 87 %
2026/03/17 07:01:56.731, 320.61 W, 88 %
2026/03/17 07:01:56.831, 320.41 W, 88 %
2026/03/17 07:01:56.931, 321.61 W, 89 %
2026/03/17 07:01:57.031, 322.08 W, 89 %
2026/03/17 07:01:57.131, 321.70 W, 87 %
2026/03/17 07:01:57.231, 322.33 W, 87 %
2026/03/17 07:01:57.331, 323.31 W, 89 %
2026/03/17 07:01:57.432, 316.73 W, 89 %
2026/03/17 07:01:57.532, 315.50 W, 73 %
2026/03/17 07:01:57.632, 316.26 W, 73 %
2026/03/17 07:01:57.732, 316.07 W, 89 %
2026/03/17 07:01:57.832, 316.69 W, 89 %
2026/03/17 07:01:57.932, 316.03 W, 87 %
2026/03/17 07:01:58.032, 315.15 W, 87 %
2026/03/17 07:01:58.133, 314.47 W, 89 %
2026/03/17 07:01:58.233, 315.06 W, 89 %
2026/03/17 07:01:58.333, 314.99 W, 88 %
2026/03/17 07:01:58.433, 321.71 W, 88 %
2026/03/17 07:01:58.533, 322.07 W, 88 %
2026/03/17 07:01:58.633, 321.41 W, 88 %
2026/03/17 07:01:58.733, 320.81 W, 85 %
2026/03/17 07:01:58.834, 319.75 W, 85 %
2026/03/17 07:01:58.934, 320.14 W, 88 %
2026/03/17 07:01:59.034, 319.25 W, 88 %
2026/03/17 07:01:59.134, 318.14 W, 89 %
2026/03/17 07:01:59.234, 317.71 W, 89 %
2026/03/17 07:01:59.334, 317.69 W, 88 %
2026/03/17 07:01:59.434, 316.18 W, 88 %
2026/03/17 07:01:59.535, 315.71 W, 89 %
2026/03/17 07:01:59.635, 316.19 W, 89 %
